event_id,name,park_id,lat,long,organizer,date,start_time,end_time,cost_free
167575,Fitness,B431,40.69260025,-74.00189972,,1/1/2019,7:00:00 PM,8:00:00 PM,1
177388,History,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/1/2019,11:00:00 AM,4:00:00 PM,0
177388,Winter Holidays,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/1/2019,11:00:00 AM,4:00:00 PM,0
179099,Fitness,M029,40.86059952,-73.93379974,Northern Manhattan Parks,1/1/2019,7:30:00 AM,8:30:00 AM,1
179099,Fort Tryon Park Trust,M029,40.86059952,-73.93379974,Northern Manhattan Parks,1/1/2019,7:30:00 AM,8:30:00 AM,1
179099,Northern Manhattan Parks,M029,40.86059952,-73.93379974,Northern Manhattan Parks,1/1/2019,7:30:00 AM,8:30:00 AM,1
177388,Art,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/1/2019,11:00:00 AM,4:00:00 PM,0
177388,Historic House Trust Sites,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/1/2019,11:00:00 AM,4:00:00 PM,0
177639,Best for Kids,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,1:00:00 PM,2:00:00 PM,0
177569,Best for Kids,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,10:30:00 AM,11:30:00 AM,0
177793,Historic House Trust Sites,B111,40.6729393,-73.98460388,,1/2/2019,7:00:00 PM,9:00:00 PM,0
177597,Theater,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,11:30:00 AM,12:30:00 PM,0
177597,Best for Kids,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,11:30:00 AM,12:30:00 PM,0
177624,Best for Kids,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,11:30:00 AM,12:30:00 PM,0
177389,Historic House Trust Sites,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/2/2019,11:00:00 AM,4:00:00 PM,0
177596,Best for Kids,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,10:30:00 AM,11:30:00 AM,0
177793,Art,B111,40.6729393,-73.98460388,,1/2/2019,7:00:00 PM,9:00:00 PM,0
177389,Art,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/2/2019,11:00:00 AM,4:00:00 PM,0
177389,History,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/2/2019,11:00:00 AM,4:00:00 PM,0
177639,Theater,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,1:00:00 PM,2:00:00 PM,0
179328,Hiking,R129,40.58840179,-74.13909912,Staten Island Greenbelt Conservancy,1/2/2019,6:00:00 PM,7:45:00 PM,1
177624,Theater,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,11:30:00 AM,12:30:00 PM,0
177596,Theater,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,10:30:00 AM,11:30:00 AM,0
177389,Winter Holidays,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/2/2019,11:00:00 AM,4:00:00 PM,0
177569,Theater,M010,40.78250122,-73.96559906,City Parks Foundation,1/2/2019,10:30:00 AM,11:30:00 AM,0
168069,Fitness,X039,40.85119855,-73.82619506,New York Road Runners,1/3/2019,7:00:00 PM,8:00:00 PM,1
167961,Fitness,,40.74267355,-73.85000169,,1/3/2019,7:00:00 PM,8:00:00 PM,1
177390,Art,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/3/2019,11:00:00 AM,4:00:00 PM,0
177598,Theater,M010,40.78250122,-73.96559906,City Parks Foundation,1/3/2019,11:30:00 AM,12:30:00 PM,0
179100,Fitness,M029,40.86059952,-73.93379974,Northern Manhattan Parks,1/3/2019,7:30:00 AM,8:30:00 AM,1
179100,Northern Manhattan Parks,M029,40.86059952,-73.93379974,Northern Manhattan Parks,1/3/2019,7:30:00 AM,8:30:00 AM,1
177390,History,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/3/2019,11:00:00 AM,4:00:00 PM,0
177570,Theater,M010,40.78250122,-73.96559906,City Parks Foundation,1/3/2019,10:30:00 AM,11:30:00 AM,0
177598,Best for Kids,M010,40.78250122,-73.96559906,City Parks Foundation,1/3/2019,11:30:00 AM,12:30:00 PM,0
179100,Fort Tryon Park Trust,M029,40.86059952,-73.93379974,Northern Manhattan Parks,1/3/2019,7:30:00 AM,8:30:00 AM,1
177390,Historic House Trust Sites,X092,40.8911438,-73.89489746,Van Cortlandt House Museum,1/3/2019,11:00:00 AM,4:00:00 PM,0
177570,Best for Kids,M010,40.78250122,-73.96559906,City Parks Foundation,1/3/2019,10:30:00 AM,11:30:00 AM,0
